frase_teste,saida_correta,predicao_sistema
datafolha revela que 70 $% unk governo ótimo ou bom $; collor teve unk $% antes de assumir a presidência $¶,"['PROP', 'V', 'KS', 'NUM', 'N', 'V', 'N', 'SUP', 'KC', 'ADJ', 'PU', 'C', 'V', 'NUM', 'N', 'ADV', 'PRP', 'V', 'DET', 'N', 'PU']","['PRP', 'DET', 'N', 'V', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'N', 'PRP', 'DET']"
o sociólogo fernando=henrique=cardoso 63 unk possa hoje a as unk em o congresso como o unk presidente de o brasil $. $¶,"['DET', 'N', 'F', 'NUM', 'V', 'V', 'ADV', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'ADV', 'DET', 'NUM', 'N', 'PRP', 'DET', 'B', 'PU', 'PU']","['N', 'PU', 'DET', 'N', 'UNK', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET']"
eleito em 3 de outubro com unk milhões de votos unk $% de os unk unk unk a unk 63 de quem foi ministro de as unk e de a fazenda $. $¶,"['V', 'PRP', 'NUM', 'PRP', 'N', 'PRP', 'NUM', 'N', 'PRP', 'N', 'NUM', 'N', 'PRP', 'DET', 'ADJ', 'FHC', 'V', 'PRP', 'I', 'NUM', 'PRP', 'SPEC', 'V', 'N', 'PRP', 'DET', 'R', 'KC', 'PRP', 'DET', 'N', 'PU', 'PU']","['V', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'UNK', 'UNK', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'UNK', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N']"
o datafolha revela que 79 $% unk o real moeda unk por a equipe de unk $. $¶,"['DET', 'PROP', 'V', 'KS', 'NUM', 'N', 'V', 'DET', 'N', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'FHC', 'PU', 'PU']","['DET', 'N', 'PRP', 'N', 'PRP', 'DET', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N']"
para 70 $% seu governo será ótimo ou bom $. $¶,"['PRP', 'NUM', 'N', 'S', 'N', 'V', 'SUP', 'KC', 'ADJ', 'PU', 'PU']","['DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N']"
em 90 unk $% tinham a mesma expectativa em=relação=a fernando=collor $. $¶,"['PRP', 'NUM', 'NUM', 'N', 'V', 'DET', 'KOMP', 'N', 'PRP', 'F', 'PU', 'PU']","['DET', 'N', 'UNK', 'PRP', 'DET', 'N', 'V', 'V', 'N', 'DET', 'N', 'PRP']"
o programa de unk definiu como prioridades a unk de o real e as reformas em a constituição $. $¶,"['DET', 'N', 'PRP', 'FHC', 'V', 'ADV', 'N', 'DET', 'N', 'PRP', 'DET', 'N', 'KC', 'DET', 'N', 'PRP', 'DET', 'N', 'PU', 'PU']","['DET', 'N', 'PRP', 'UNK', 'V', 'V', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP']"
novo comandante de o unk brasil fernando=henrique=cardoso será ao=menos em os primeiros tempos de sua gestão um presidente em unk de uma unk mais unk em a=qual unk a estabilização de a economia por ele mesmo unk como ministro=da=fazenda $. $¶,"['ADJ', 'N', 'PRP', 'DET', 'N', 'B', 'F', 'V', 'ADV', 'PRP', 'DET', 'NUM', 'N', 'PRP', 'S', 'N', 'DET', 'N', 'PRP', 'N', 'PRP', 'DET', 'N', 'KOMP', 'ADJ', 'PRP', 'SPEC', 'V', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'PERS', 'DET', 'ADJ', 'ADV', 'F', 'PU', 'PU']","['N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'UNK', 'PRP', 'DET', 'N', 'PRP']"
o novo titular de a pasta unk já unk em entrevista concedida a esta folha $: uma política de estabilização não pode estar unk só em câmbio e em política monetária unk $. $¶,"['DET', 'ADJ', 'N', 'PRP', 'DET', 'N', 'P', 'ADV', 'V', 'PRP', 'N', 'V', 'PRP', 'DET', 'F', 'PU', 'DET', 'N', 'PRP', 'N', 'ADV', 'V', 'V', 'V', 'ADV', 'PRP', 'N', 'KC', 'PRP', 'N', 'ADJ', 'ADJ', 'PU', 'PU']","['DET', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'UNK', 'DET', 'N', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'ADJ', 'UNK', 'DET', 'N']"
ora é exatamente em a unk de o real em=relação=a o dólar e em uma unk monetária unk apenas unk que se unk hoje o unk $. $¶,"['ADV', 'V', 'ADV', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'KC', 'PRP', 'DET', 'N', 'ADJ', 'KS', 'ADV', 'ADJ', 'SPEC', 'PERS', 'V', 'ADV', 'DET', 'P', 'PU', 'PU']","['V', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N', 'V', 'PRP', 'DET', 'N', 'PRP', 'UNK', 'ADJ', 'UNK', 'PU', 'UNK', 'DET', 'N', 'PRP', 'DET', 'N', 'PRP', 'DET', 'N']"
